Configuration,Silhouette (max),Num Clusters,Time
ps20mc2mi20,0.18300915909005575,2,0.21664094924926758
ps20mc2mi50,0.18300915909005575,2,0.4703526496887207
ps20mc2mi100,0.18300915909005575,2,0.8865382671356201
ps20mc3mi20,0.17084721910339815,2,0.2108771800994873
ps20mc3mi50,0.17423075384162404,2,0.46576642990112305
ps20mc3mi100,0.18300915909005575,2,0.881338357925415
ps20mc5mi20,0.18842637313665392,7,0.2154827117919922
ps20mc5mi50,0.19494909263536392,6,0.47452616691589355
ps20mc5mi100,0.20713801289769282,7,0.9053311347961426
ps50mc2mi20,0.18300915909005575,2,0.4632139205932617
ps50mc2mi50,0.18300915909005575,2,1.0880036354064941
ps50mc2mi100,0.18300915909005575,2,2.1285839080810547
ps50mc3mi20,0.18300915909005575,2,0.4604918956756592
ps50mc3mi50,0.18300915909005575,2,1.0819687843322754
ps50mc3mi100,0.18300915909005575,2,2.1191627979278564
ps50mc5mi20,0.17423075384162404,2,0.4594154357910156
ps50mc5mi50,0.17423075384162404,2,1.0866327285766602
ps50mc5mi100,0.17423075384162404,2,2.120373010635376
ps100mc2mi20,0.18300915909005575,2,0.8736884593963623
ps100mc2mi50,0.18300915909005575,2,2.1067943572998047
ps100mc2mi100,0.18300915909005575,2,4.173375129699707
ps100mc3mi20,0.18300915909005575,2,0.8673887252807617
ps100mc3mi50,0.18300915909005575,2,2.105010747909546
ps100mc3mi100,0.18300915909005575,2,4.165786266326904
ps100mc5mi20,0.2048357522928543,7,0.8845248222351074
ps100mc5mi50,0.2048357522928543,7,2.153414726257324
ps100mc5mi100,0.2048357522928543,7,4.287588596343994
