Silhouette (max),Num Clusters,Time
0.12075400419585552,5,0.004210472106933594
0.11829506109875024,4,0.005542755126953125
0.11829506109875024,4,0.00659942626953125
0.12075400419585552,5,0.0039708614349365234
0.11829506109875024,4,0.0057408809661865234
0.11829506109875024,4,0.00684809684753418
0.12075400419585552,5,0.003963947296142578
0.11829506109875024,4,0.005567073822021484
0.11829506109875024,4,0.00682520866394043
0.10995807564888921,4,0.001974344253540039
0.12075400419585552,5,0.0072400569915771484
-1.0,0,0.00851130485534668
0.10995807564888921,4,0.0020287036895751953
0.12075400419585552,5,0.007390499114990234
0.11829506109875024,4,0.01046609878540039
0.10995807564888921,4,0.001941680908203125
0.12075400419585552,5,0.007161855697631836
0.11829506109875024,4,0.010259866714477539
-1.0,1,0.0011181831359863281
0.10995807564888921,4,0.00541377067565918
-1.0,0,0.008187532424926758
-1.0,1,0.001096963882446289
0.10995807564888921,4,0.005401611328125
-1.0,0,0.016304969787597656
-1.0,1,0.0011396408081054688
0.10995807564888921,4,0.0053730010986328125
0.12075400419585552,5,0.0216829776763916
